Authors,Title,Journal,Details,IF,SJR,Quartile,Citations,Type,DOI
"P. Halder, S. K. Mishra, A. K. Srivastava, A. Asai, M. Sharma, and P. A. Dowben",Prediction of solar flare occurrence and its precise location through magnetic topological parameters,Astronomical Society of India,O6 (May 2026).,,,,0,Proceeding,
"M. Arnaut, C. Wöhler, P. Halder, G. Ahuja, S. Ganesh, and M. Bhatt",Wide-field polarization imaging and numerical modeling of the coma and tail of comet C/2023 A3 (Tsuchinshan-ATLAS),A&A,"707, A150 (Mar. 2026), A150.",6.1,1.7,Q1,0,Article,10.1051/0004-6361/202555905
"S. K. Pal, D. Sen, D. Bardhan, P. Halder, and S. K. Ghosh",Optical Properties of One Dimensional Plasmonic Polymers,ChemPhysChem,"27 (2 Jan. 2026), e202500862.",2.4,0.7,Q2,0,Article,
"S. Narendranath, S. Ganesh, D. Sahu, R. K. Mishra, M. Bhatt, S. Sarkhel, G. Thangjam, K. K. Marhas, K. Aravind, K. Venkataramani, P. Halder, P. Prajapati, and P. Sreekumar",Solar system research prospects for the decade and beyond,Journal of Astrophysics and Astronomy,"46, 34 (2025).",1.5,0.5,Q2,2,Article,10.1007/s12036-025-10060-0
"D. Debnath, P. Halder, B. Saha, M. Das, and S. K. Ghosh",Exploring the Plasmonic Density of States To Direct Singlet or Triplet Excitonic Energy Transfer from Perovskite Nanocrystals,The Journal of Physical Chemistry C,"129 (13 Apr. 2025), pp. 6535–6550.",3.4,1.0,Q1,1,Article,10.1021/acs.jpcc.5c01599
"D. Debnath, P. Halder, B. Saha, H. Acharya, and S. K. Ghosh",Fermi–Dirac statistics in correlation between electronic entropy and spatial confinement of liquid crystal perovskite nanohybrids,Journal of Materials Chemistry C,"12.10 (Mar. 2024), pp. 3535–3548.",5.1,1.5,Q1,1,Article,10.1039/D4TC00212A
"B. Goswami, H. S. Das, N. N. Devi, and P. Halder",Influence of porosity on the Umov effect in silicate and organic refractory aggregates,JQSRT,"323, 109019 (Sept. 2024), p. 109019.",2.0,0.7,Q1,1,Article,10.1016/j.jqsrt.2024.109019
"R. S. Paul, P. Halder, H. S. Das, A. M. Mazarbhuiya, and B. J. Medhi",Investigating the extinction and magnetic field geometry in the Bok globule CB26,MNRAS,"535.4 (Dec. 2024), pp. 3353–3362.",5.2,1.5,Q1,6,Article,10.1093/mnras/stae2497
P. Halder and S. Sengupta,A Comprehensive Model of Morphologically Realistic Cosmic Dust Particles: An Application to Mimic the Unusual Polarization Properties of the Interstellar Comet 2I/Borisov,ApJ,"947.1, 1 (Apr. 2023), p. 1.",5.7,1.9,Q1,9,Article,10.3847/1538-4357/acbf52
"K. Aravind, P. Halder, S. Ganesh, D. Sahu, M. Serra-Ricart, J. J. Chambó, D. Angchuk, and T. Sivarani",Optical observations and dust modelling of comet 156P/Russell LINEAR,Icarus,"383, 115042 (Sept. 2022), p. 115042.",3.2,1.3,Q1,13,Article,10.1016/j.icarus.2022.115042
P. Halder,REST: A Java Package for Crafting Realistic Cosmic Dust Particles,ApJS,"263.1, 3 (Nov. 2022), p. 3.",8.5,3.2,Q1,6,Article,10.3847/1538-4365/ac9183
"A. M. Mazarbhuiya, H. S. Das, B. J. Medhi, P. Halder, and P. Deb Roy",Study of dust coma of comets 32P/Comas Sola and C/2015 V2 (Johnson) by imaging polarimetry,Ap&SS,"367.9, 98 (Sept. 2022), p. 98.",2.1,0.4,Q2,2,Article,10.1007/s10509-022-04133-7
P. Halder,JaSTA-3: Light scattering simulations for heterogeneous aggregate,Computer Physics Communications,"261, 107818 (Apr. 2021), p. 107818.",3.4,1.1,Q1,1,Article,10.1016/j.cpc.2020.107818
P. Halder and S. Ganesh,Modelling heterogeneous dust particles: an application to cometary polarization,MNRAS,"501.2 (Feb. 2021), pp. 1766–1781.",5.2,1.5,Q1,22,Article,10.1093/mnras/staa3647
"A. M. Mazarbhuiya, H. S. Das, and P. Halder",The Umov effect in cosmic dust analogue fluffy aggregates,MNRAS,"502.2 (Apr. 2021), pp. 2536–2540.",5.2,1.5,Q1,6,Article,10.1093/mnras/stab230
"P. Halder, P. Deb Roy, and H. S. Das","Dependence of light scattering properties on porosity, size and composition of dust aggregates",Icarus,"312 (Sept. 2018), pp. 45–60.",3.2,1.3,Q1,24,Article,10.1016/j.icarus.2018.04.026
"P. Deb Roy, P. Halder, and H. S. Das",Study of light scattering properties of dust aggregates with a wide variation of porosity,Ap&SS,"362.11, 209 (Nov. 2017), p. 209.",2.1,0.4,Q2,15,Article,10.1007/s10509-017-3185-x
P. Halder and H. S. Das,JaSTA-2: Second version of the Java Superposition T matrix Application,Computer Physics Communications,"221 (Dec. 2017), pp. 421–422.",3.4,1.1,Q1,6,Article,10.1016/j.cpc.2017.08.020
"P. Deb Roy, P. Halder, H. S. Das, and B. J. Medhi",Imaging polarimetry of comets C/2013 V1 (Boattini) and 290P/Jager before and after perihelion,MNRAS,"450.2 (June 2015), pp. 1770–1776.",5.2,1.5,Q1,14,Article,10.1093/mnras/stv707
"P. Deb Roy, P. Halder, H. S. Das, and B. J. Medhi",Polarimetric Studies of comets C/2013 V1 (Boattini) and 290P/Jager,IAU General Assembly,"Vol. 29. Aug. 2015, 2256508, p. 2256508.",,,,0,Proceeding,
"P. Halder, A. Chakraborty, P. Deb Roy, and H. S. Das",Java application for the superposition T-matrix code to study the optical properties of cosmic dust aggregates,Computer Physics Communications,"185.9 (Sept. 2014), pp. 2369–2379.",3.4,1.1,Q1,11,Article,10.1016/j.cpc.2014.04.019
